ID,Catégorie,Question,Réponse 1,Score 1,Réponse 2,Score 2,Réponse 3,Score 3
1,Capacité de jouer un rôle moteur,La direction fixe-t-elle des objectifs clairs en matière de sécurité alimentaire ?,"La direction communique régulièrement des objectifs spécifiques, mesurables et adaptés.",5,"Les objectifs sont fixés de manière occasionnelle, sans suivi clair.",3,Aucun objectif spécifique n’est fixé.,1
2,Capacité de jouer un rôle moteur,La direction fait-elle part de ses attentes en matière de sécurité alimentaire aux employés ?,Les attentes sont clairement exprimées et réitérées dans les communications internes.,5,"Les attentes sont parfois évoquées, sans suivi systématique.",3,Les attentes ne sont pas définies ou communiquées.,1
3,Capacité de jouer un rôle moteur,La direction motive-t-elle activement les salariés à respecter les règles de sécurité alimentaire ?,"Oui, par des incitations claires, des formations régulières et des discussions constructives.",5,"Parfois, mais sans actions structurées ou cohérentes.",3,"Non, aucune action spécifique pour motiver le personnel.",1
4,Capacité de jouer un rôle moteur,Les dirigeants donnent-ils l’exemple en matière d’hygiène et de sécurité alimentaire ?,"Oui, ils respectent eux-mêmes toutes les règles et les promeuvent activement.",5,"Parfois, mais cela dépend des situations ou des individus.",3,"Non, ils ne montrent pas d’exemple significatif.",1
5,Capacité de jouer un rôle moteur,Les questions de sécurité alimentaire sont-elles traitées rapidement et de manière constructive ?,"Oui, toutes les préoccupations sont traitées rapidement avec des solutions adaptées.",5,"Certaines préoccupations sont prises en charge, mais pas toutes.",3,"Non, les problèmes sont ignorés ou traités avec retard.",1
6,Capacité de jouer un rôle moteur,La direction s’efforce-t-elle d’améliorer constamment la sécurité alimentaire ?,"Oui, des audits réguliers, des investissements et des formations sont mis en œuvre.",5,"Occasionnellement, sans approche systématique.",3,"Non, aucune amélioration continue n’est entreprise.",1
7,Capacité de jouer un rôle moteur,Le personnel perçoit-il la direction comme un moteur d’amélioration continue en sécurité alimentaire ?,"Oui, la direction inspire confiance et engagement dans ses actions.",5,"Parfois, mais cette perception est limitée à certains membres ou moments.",3,"Non, la direction n’est pas perçue comme engagée ou proactive.",1
8,Capacité de jouer un rôle moteur,Des mécanismes existent-ils pour associer tout le personnel à la réalisation des objectifs de sécurité alimentaire ?,"Oui, à travers des groupes de travail, des outils collaboratifs et des retours réguliers.",5,"Partiellement, mais avec une implication limitée de certaines équipes.",3,"Non, aucun mécanisme spécifique n’existe.",1
9,Capacité de jouer un rôle moteur,La direction met-elle en place des initiatives pour impliquer activement les employés dans la sécurité alimentaire ?,"Oui, par des formations participatives, des campagnes de sensibilisation et des incitations.",5,"Parfois, mais ces initiatives sont limitées ou irrégulières.",3,"Non, aucune initiative n'est mise en place.",1
10,Capacité de jouer un rôle moteur,Les ressources nécessaires pour la sécurité alimentaire sont-elles attribuées de manière adaptée par la direction ?,"Oui, avec des investissements suffisants en personnel, équipements et formation.",5,"Parfois, mais cela varie selon les priorités budgétaires.",3,"Non, les ressources sont insuffisantes ou inexistantes.",1
11,Sensibilisation,Les employés comprennent-ils les risques liés à la sécurité alimentaire dans leur travail ?,"Oui, ils identifient et maîtrisent les risques spécifiques à leurs tâches.",5,Certains comprennent partiellement les risques mais sans maîtrise totale.,3,"Non, ils ne connaissent pas ou maîtrisent mal les risques.",1
12,Sensibilisation,La direction assure-t-elle des formations régulières pour sensibiliser aux risques ?,"Oui, les formations sont fréquentes et adaptées aux évolutions des risques.",5,Les formations sont irrégulières ou génériques.,3,"Non, aucune formation spécifique n’est assurée.",1
13,Sensibilisation,Tous les employés comprennent-ils l’impact de leurs actions sur la sécurité alimentaire ?,"Oui, il existe une sensibilisation claire et renforcée sur leurs responsabilités.",5,Certains comprennent mais cette sensibilisation est limitée.,3,"Non, ils ne perçoivent pas clairement cet impact.",1
14,Sensibilisation,Les risques liés à la sécurité alimentaire sont-ils régulièrement communiqués à tous ?,"Oui, à travers des canaux comme des affiches, réunions, et campagnes de sensibilisation.",5,"Oui, mais cette communication est irrégulière ou limitée à certains groupes.",3,"Non, les risques ne sont pas communiqués.",1
15,Sensibilisation,Les nouveaux employés reçoivent-ils une formation spécifique sur la sécurité alimentaire ?,"Oui, dès leur intégration avec des mises à jour régulières.",5,"Oui, mais de manière générale et sans suivi.",3,"Non, aucune formation initiale spécifique n’est donnée.",1
16,Sensibilisation,Les employés peuvent-ils identifier des écarts ou problèmes en matière de sécurité alimentaire ?,"Oui, et ils savent également comment les signaler et agir en conséquence.",5,Certains savent les identifier mais ne savent pas comment les gérer.,3,"Non, ils ne sont pas formés à identifier les écarts.",1
17,Sensibilisation,Les employés reçoivent-ils des rappels réguliers sur l’importance de la sécurité alimentaire ?,"Oui, à travers des rappels fréquents et des supports adaptés (affiches, messages).",5,"Parfois, mais de manière irrégulière.",3,"Non, aucun rappel n’est donné.",1
18,Sensibilisation,Les employés comprennent-ils leur rôle dans la prévention des risques pour les consommateurs ?,"Oui, avec une sensibilisation claire à chaque niveau de l’organisation.",5,"Certains comprennent, mais il manque des efforts pour une sensibilisation complète.",3,"Non, leur rôle n’est pas clair.",1
19,Sensibilisation,Existe-t-il un mécanisme permettant de mesurer la compréhension des employés sur les risques ?,"Oui, à travers des évaluations, des audits ou des observations régulières.",5,"Parfois, mais ces évaluations ne sont pas systématiques.",3,"Non, aucun mécanisme n’est en place.",1
20,Sensibilisation,La sensibilisation à la sécurité alimentaire est-elle adaptée à la complexité des tâches ?,"Oui, des outils spécifiques et personnalisés sont utilisés pour chaque tâche critique.",5,"Partiellement, avec des outils limités ou non personnalisés.",3,"Non, aucune adaptation spécifique n’est faite.",1
21,Communication,La direction communique-t-elle régulièrement sur les objectifs de sécurité alimentaire ?,"Oui, à travers des réunions, des rapports ou des campagnes internes.",5,"Oui, mais de manière irrégulière ou informelle.",3,"Non, aucun effort de communication n’est réalisé.",1
22,Communication,Existe-t-il un retour d’information structuré entre la direction et les employés ?,"Oui, avec des canaux clairs pour partager les préoccupations ou les idées.",5,"Partiellement, mais ce retour manque de structuration ou de suivi.",3,"Non, il n’y a pas de mécanisme de retour.",1
23,Communication,Les employés peuvent-ils communiquer facilement sur les questions de sécurité alimentaire ?,"Oui, via des outils accessibles (réunions, plateformes numériques, boîtes à idées).",5,"Oui, mais ces outils ne sont pas toujours fonctionnels ou disponibles.",3,"Non, aucun canal de communication n’est en place.",1
24,Communication,Les écarts ou incidents liés à la sécurité alimentaire sont-ils rapportés efficacement ?,"Oui, et ils sont systématiquement analysés pour éviter leur répétition.",5,"Certains sont rapportés, mais il manque un suivi ou une analyse structurée.",3,"Non, ces écarts ne sont pas rapportés.",1
25,Communication,Les employés reçoivent-ils des mises à jour régulières sur les évolutions en sécurité alimentaire ?,"Oui, à travers des bulletins d’information ou des réunions.",5,"Oui, mais les mises à jour sont limitées ou irrégulières.",3,"Non, aucune mise à jour n’est communiquée.",1
26,Communication,La communication est-elle ouverte entre les départements pour gérer les risques ?,"Oui, avec des discussions inter-départements régulières et efficaces.",5,"Oui, mais cette communication est limitée à certains départements.",3,"Non, aucun effort d’interaction inter-départements n’est fait.",1
27,Communication,Les employés perçoivent-ils la direction comme accessible pour discuter des problèmes ?,"Oui, la direction est facilement accessible et réceptive.",5,"Parfois, mais cela dépend des responsables ou des situations.",3,"Non, la direction n’est pas perçue comme accessible.",1
28,Communication,"Existe-t-il des supports visuels (affiches, panneaux) pour rappeler les bonnes pratiques ?","Oui, avec des affichages visibles, adaptés et régulièrement mis à jour.",5,"Oui, mais ces supports sont limités ou obsolètes.",3,"Non, aucun support visuel n’est utilisé.",1
29,Communication,Les salariés sont-ils impliqués dans les campagnes de communication interne ?,"Oui, à travers des réunions participatives et des outils collaboratifs.",5,"Parfois, mais leur implication reste marginale.",3,"Non, les salariés ne participent pas aux campagnes.",1
30,Communication,La direction informe-t-elle sur les actions correctives prises après un incident ?,"Oui, avec des rapports détaillés et des plans d’action diffusés à tous les employés.",5,"Oui, mais les informations restent limitées ou incomplètes.",3,"Non, aucune information n’est partagée.",1
31,Ressources,L’organisation dispose-t-elle de suffisamment de personnel pour assurer la sécurité alimentaire ?,"Oui, les effectifs sont suffisants et bien formés.",5,"Oui, mais certains secteurs manquent de personnel compétent.",3,"Non, il y a un manque critique de personnel.",1
32,Ressources,Les infrastructures sont-elles adaptées aux exigences de la sécurité alimentaire ?,"Oui, elles répondent pleinement aux besoins opérationnels.",5,"Oui, mais des limitations existent dans certains espaces ou équipements.",3,"Non, les infrastructures ne sont pas adéquates.",1
33,Ressources,Les ressources financières sont-elles suffisantes pour soutenir les initiatives de sécurité alimentaire ?,"Oui, les budgets sont régulièrement alloués et ajustés selon les besoins.",5,"Partiellement, certains budgets ne couvrent pas tous les besoins.",3,"Non, les financements sont insuffisants.",1
34,Ressources,Des formations régulières sont-elles financées pour les employés ?,"Oui, elles sont planifiées et adaptées aux évolutions des risques.",5,"Oui, mais elles sont rares ou non spécifiques.",3,"Non, aucune formation n’est financée.",1
35,Ressources,Les équipements nécessaires à la sécurité alimentaire sont-ils disponibles ?,"Oui, tous les équipements requis sont en place et entretenus.",5,"Oui, mais certains équipements nécessitent des améliorations ou remplacements.",3,"Non, les équipements ne sont pas disponibles.",1
36,Ressources,Les procédures et instructions de sécurité alimentaire sont-elles claires et accessibles ?,"Oui, elles sont documentées et disponibles à tous les niveaux de l’organisation.",5,"Partiellement, certaines procédures manquent de clarté ou de diffusion.",3,"Non, les procédures sont absentes ou incomplètes.",1
37,Ressources,Le temps alloué aux tâches critiques est-il suffisant pour garantir la sécurité alimentaire ?,"Oui, les délais sont bien planifiés et respectés.",5,"Parfois, mais des contraintes de production peuvent limiter ce temps.",3,"Non, le temps est insuffisant pour les tâches critiques.",1
38,Ressources,Des audits internes sont-ils organisés pour évaluer l’utilisation des ressources en sécurité alimentaire ?,"Oui, avec des retours réguliers et des actions correctives mises en place.",5,"Oui, mais ces audits sont peu fréquents ou non structurés.",3,"Non, aucun audit n’est réalisé.",1
39,Ressources,"Les ressources technologiques (logiciels, outils de gestion) sont-elles suffisantes ?","Oui, elles sont modernes, accessibles et bien utilisées.",5,"Oui, mais elles manquent d’actualisation ou de couverture intégrale.",3,"Non, ces ressources sont insuffisantes ou obsolètes.",1
40,Ressources,Les ressources nécessaires pour répondre aux non-conformités identifiées sont-elles disponibles ?,"Oui, elles sont accessibles rapidement pour résoudre les problèmes efficacement.",5,"Parfois, mais il y a des retards dans leur mise en œuvre.",3,"Non, ces ressources ne sont pas disponibles.",1
41,Engagement et implication,Les employés participent-ils activement aux initiatives de sécurité alimentaire ?,"Oui, avec une implication constante et proactive.",5,"Parfois, mais l’implication reste limitée à certains groupes.",3,"Non, les employés ne participent pas activement.",1
42,Engagement et implication,Les employés perçoivent-ils la sécurité alimentaire comme une responsabilité collective ?,"Oui, ils comprennent et partagent cette responsabilité à tous les niveaux.",5,"Partiellement, certains groupes ne se sentent pas concernés.",3,"Non, cette perception n’existe pas.",1
43,Engagement et implication,Les employés reçoivent-ils des retours sur leurs efforts en matière de sécurité alimentaire ?,"Oui, avec des retours réguliers et des incitations pour leurs contributions.",5,"Parfois, mais ces retours sont irréguliers ou peu motivants.",3,"Non, aucun retour n’est donné.",1
44,Engagement et implication,Les employés disposent-ils d’opportunités pour proposer des améliorations en sécurité alimentaire ?,"Oui, via des suggestions, des réunions participatives ou des plateformes dédiées.",5,"Partiellement, mais ces opportunités sont limitées ou peu accessibles.",3,"Non, aucune opportunité n’est offerte.",1
45,Engagement et implication,Les employés sont-ils récompensés pour leurs bonnes pratiques en sécurité alimentaire ?,"Oui, avec des reconnaissances ou des incitations tangibles.",5,"Parfois, mais ces récompenses sont rares ou non formalisées.",3,"Non, aucun système de récompense n’existe.",1
46,Engagement et implication,Les employés sont-ils motivés pour atteindre un haut niveau de sécurité alimentaire ?,"Oui, grâce à des programmes de motivation ou des campagnes internes.",5,"Partiellement, mais la motivation reste faible chez certains groupes.",3,"Non, aucune action pour motiver les employés n’est entreprise.",1
47,Engagement et implication,Les employés participent-ils à des formations pour renforcer leurs compétences ?,"Oui, et ces formations sont suivies et évaluées régulièrement.",5,"Parfois, mais la participation est limitée ou irrégulière.",3,"Non, les employés ne participent pas à des formations.",1
48,Engagement et implication,Les responsabilités individuelles en matière de sécurité alimentaire sont-elles clairement définies ?,"Oui, elles sont documentées et régulièrement mises à jour.",5,"Partiellement, mais certaines tâches manquent de clarté.",3,"Non, ces responsabilités ne sont pas définies.",1
49,Engagement et implication,Les équipes collaborent-elles efficacement pour résoudre les problèmes de sécurité alimentaire ?,"Oui, la collaboration est active et soutenue à tous les niveaux.",5,"Parfois, mais cette collaboration est limitée à certaines situations.",3,"Non, aucune collaboration efficace n’est observée.",1
50,Engagement et implication,Les employés ont-ils accès aux informations nécessaires pour appliquer les bonnes pratiques ?,"Oui, ces informations sont accessibles et diffusées efficacement.",5,"Partiellement, mais certaines informations ne sont pas facilement disponibles.",3,"Non, ces informations ne sont pas accessibles.",1
